Id,Id2,Tract,population,employed,maleEmployed,femaleEmployed,income,maleIncome,femaleIncome
1400000US06075031202,6075031202,"Census Tract 312.02, San Francisco County, California",27280,1532,51.9,48.1,27280,34205,26365
1400000US06075031301,6075031301,"Census Tract 313.01, San Francisco County, California",42257,2192,50.7,49.3,42257,46226,40273
1400000US06075031302,6075031302,"Census Tract 313.02, San Francisco County, California",27708,3296,50,50,27708,27387,28616
1400000US06075031400,6075031400,"Census Tract 314, San Francisco County, California",25030,3307,56.8,43.2,25030,23063,26214
1400000US06075032601,6075032601,"Census Tract 326.01, San Francisco County, California",39242,2833,52.9,47.1,39242,42444,33116
1400000US06075032602,6075032602,"Census Tract 326.02, San Francisco County, California",41377,2285,48.5,51.5,41377,41250,41488
1400000US06075032700,6075032700,"Census Tract 327, San Francisco County, California",48294,4001,48.2,51.8,48294,55118,43071
1400000US06075032801,6075032801,"Census Tract 328.01, San Francisco County, California",47689,1942,46.5,53.5,47689,51820,43598
1400000US06075032802,6075032802,"Census Tract 328.02, San Francisco County, California",41482,2123,45,55,41482,60276,35765
1400000US06075032901,6075032901,"Census Tract 329.01, San Francisco County, California",48026,2653,52.4,47.6,48026,49103,47131
1400000US06075032902,6075032902,"Census Tract 329.02, San Francisco County, California",53983,1830,56.8,43.2,53983,53385,60648
1400000US06075033000,6075033000,"Census Tract 330, San Francisco County, California",45647,4543,54.1,45.9,45647,46573,43931
1400000US06075033100,6075033100,"Census Tract 331, San Francisco County, California",59195,2248,52.3,47.7,59195,87083,36685
1400000US06075033201,6075033201,"Census Tract 332.01, San Francisco County, California",5239,1148,26.2,73.8,5239,19750,4504
1400000US06075033203,6075033203,"Census Tract 332.03, San Francisco County, California",31788,2041,47.3,52.7,31788,36964,26071
1400000US06075033204,6075033204,"Census Tract 332.04, San Francisco County, California",27249,1540,48.2,51.8,27249,27197,27301
1400000US06075035100,6075035100,"Census Tract 351, San Francisco County, California",54574,4302,48.9,51.1,54574,58472,51957
1400000US06075035201,6075035201,"Census Tract 352.01, San Francisco County, California",41487,2739,51.5,48.5,41487,47056,35987
1400000US06075035202,6075035202,"Census Tract 352.02, San Francisco County, California",41912,2792,49.7,50.3,41912,41149,42982
1400000US06075035300,6075035300,"Census Tract 353, San Francisco County, California",42797,3991,46.6,53.4,42797,45223,42079
1400000US06075035400,6075035400,"Census Tract 354, San Francisco County, California",45576,3583,55.9,44.1,45576,52299,38915
1400000US06075040100,6075040100,"Census Tract 401, San Francisco County, California",51760,2577,50.8,49.2,51760,53781,50433
1400000US06075040200,6075040200,"Census Tract 402, San Francisco County, California",56587,3021,52,48,56587,60986,55664
1400000US06075042601,6075042601,"Census Tract 426.01, San Francisco County, California",35472,2300,50.1,49.9,35472,43893,32188
